,status,material_id,time
17396,,mp-862921,0.7311611175537109
6380,E,mp-1216417,0.7312898635864258
14964,E,mp-554799,0.7313003540039062
33291,,mp-786,0.7313101291656494
4289,E,mp-1221924,0.7313282489776611
27488,,mp-1215403,0.7313823699951172
35406,,mp-866142,0.7313852310180664
34851,,mp-31202,0.7314281463623047
14065,,mp-862879,0.7314486503601074
27296,E,mp-864982,0.7319488525390625
24348,,mp-7090,0.7320282459259033
31587,,mp-1227046,0.7320482730865479
42787,,mp-753226,0.732058048248291
34067,,mp-5246,0.7323367595672607
31874,,mp-1225588,0.7326128482818604
4712,E,mp-972002,0.7326359748840332
21853,,mp-863709,0.7326555252075195
6281,,mp-1219203,0.7328760623931885
25998,,mp-867827,0.732893705368042
38857,,mp-1886,0.7331602573394775
35961,,mp-9220,0.733203649520874
6524,,mp-1219705,0.7332062721252441
36372,,mp-1223850,0.7337820529937744
34798,E,mp-1105877,0.7339811325073242
35244,,mp-1184305,0.7339856624603271
44766,,mp-2026,0.7339916229248047
18367,,mp-1215471,0.734133243560791
32638,E,mp-1078880,0.7341692447662354
11632,,mp-1013558,0.7342698574066162
34738,,mp-999447,0.7342970371246338
38749,,mp-2126,0.7343273162841797
41572,,mp-12777,0.7343277931213379
37395,,mp-1227959,0.7343363761901855
7657,,mp-1223647,0.734360933303833
38838,,mp-1225323,0.734372615814209
30270,,mp-1094735,0.7344870567321777
37319,,mp-1187806,0.7346336841583252
37132,,mp-1183729,0.734670877456665
23041,,mp-570164,0.7347679138183594
7273,E,mp-9479,0.7348859310150146
32724,,mp-11601,0.7351853847503662
25137,,mp-866075,0.7353057861328125
28190,,mp-980082,0.7353639602661133
5292,E,mp-1077263,0.7353971004486084
4684,E,mp-1226717,0.7354094982147217
41282,E,mp-1183168,0.7354459762573242
45156,,mp-1111223,0.7354705333709717
14302,,mp-1068052,0.7355883121490479
38041,,mp-1206591,0.7357239723205566
12560,,mp-1062676,0.7357442378997803
44410,,mp-1186553,0.7358102798461914
21504,,mp-866204,0.7358920574188232
34006,E,mp-680111,0.7360413074493408
35603,E,mp-24204,0.7362837791442871
23638,,mp-865909,0.7363629341125488
28545,,mp-13305,0.7363941669464111
20174,,mp-1183516,0.7365562915802002
32461,,mp-1227311,0.7365639209747314
26851,,mp-1227285,0.7366640567779541
11247,,mp-1565,0.7367525100708008
1620,,mp-13907,0.7369654178619385
33199,E,mp-1209301,0.7370650768280029
42038,E,mp-1183078,0.7371044158935547
38647,,mp-1039293,0.7374086380004883
17913,E,mp-755464,0.7374191284179688
44642,,mp-1183809,0.7374684810638428
44822,E,mp-1026350,0.7376244068145752
12360,,mp-11573,0.7376501560211182
44407,E,mp-1220515,0.7376751899719238
39703,,mp-21022,0.7378532886505127
45022,,mp-1205964,0.7379393577575684
26427,,mp-1186187,0.7383441925048828
31921,,mp-865471,0.7383697032928467
2809,,mp-1206323,0.7383902072906494
37596,,mp-1216707,0.7384335994720459
38188,,mp-865358,0.7384700775146484
26921,,mp-1183660,0.7385601997375488
5584,E,mp-545552,0.738628625869751
17451,,mp-10783,0.7387421131134033
18339,,mp-4346,0.7387561798095703
34291,,mp-997084,0.7388057708740234
3003,,mp-1224289,0.7388820648193359
17487,,mp-27913,0.7388982772827148
14983,E,mp-20336,0.7392590045928955
33564,,mp-9587,0.7395200729370117
39456,,mp-12750,0.7396354675292969
12946,E,mp-1025664,0.7396619319915771
33580,E,mp-625054,0.7398126125335693
3769,,mp-1206720,0.7400174140930176
32009,,mp-980749,0.740086555480957
44926,E,mp-1205567,0.7401161193847656
30700,,mp-19729,0.7401313781738281
27251,,mp-1649,0.7403380870819092
32964,,mp-1006246,0.7404570579528809
16524,,mp-1080847,0.740532636642456
27976,,mp-1215406,0.7405343055725098
17742,,mp-1183768,0.7406935691833496
44849,,mp-1219045,0.7408020496368408
43207,,mp-3664,0.7408163547515869
42067,,mp-12783,0.7409131526947021
28465,,mp-1215401,0.7410910129547119
31490,,mp-632319,0.741091251373291
9483,,mp-1061766,0.7411260604858398
44296,,mp-865866,0.7411673069000244
12177,,mp-975886,0.7412698268890381
33166,,mp-3585,0.7417244911193848
7132,E,mp-1183087,0.7417864799499512
4937,E,mp-557835,0.7418472766876221
41223,,mp-21301,0.7418923377990723
28626,E,mp-1078239,0.741969108581543
21133,,mp-862886,0.74210524559021
25150,,mp-1220339,0.7421119213104248
6072,E,mp-1173362,0.7422370910644531
39911,,mp-866002,0.7424554824829102
5940,,mp-570591,0.7424805164337158
15690,,mp-1222275,0.7427561283111572
10691,,mp-973571,0.7429931163787842
15006,,mp-1094288,0.7431902885437012
2396,,mp-639675,0.743243932723999
9728,,mp-1018129,0.7432570457458496
32660,,mp-9244,0.7433631420135498
4708,,mp-866009,0.7433805465698242
15131,,mp-1069042,0.7435235977172852
8672,,mp-1222883,0.7435600757598877
18342,,mp-1535,0.7436652183532715
35614,,mp-973748,0.7436995506286621
15393,,mp-10026,0.7437212467193604
23100,,mp-973881,0.743722677230835
19281,E,mp-12365,0.7438077926635742
45192,,mp-1183591,0.7438254356384277
3980,,mp-564,0.7441799640655518
27915,,mp-1217960,0.744337797164917
23456,,mp-864949,0.7444119453430176
1993,,mp-571,0.7445857524871826
